operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
mul,1643201,1,1,1643201,29.887901799999998
mul,568,1,1,568,0.9325536
mul,14,6,2,168,0.9960091000000002
mul,27,10,27,7290,1.6759734000000002
mul,47,1,1,47,0.8793215999999999
mul,322,1,1,322,0.8945896000000001
mul,7338595,1,1,7338595,91.3333036
mul,12,93,85,94860,3.3755891
mul,16,3,8,384,0.9662768999999999
mul,3,3,6,54,0.9672857
mul,2081272,1,1,2081272,27.6564463
mul,646867,1,1,646867,12.3591607
mul,14,187,4,10472,1.3348662
mul,203715,1,1,203715,4.5668391
mul,19,811,1,15409,1.3511608000000002
mul,4622984,1,1,4622984,58.70080360000001
mul,1,46129,1,46129,6.0098926
mul,7,7,1,49,0.9416964
mul,321,20697,1,6643737,85.848625
mul,24,52,245,305760,6.6777052999999995
mul,3,138,13,5382,1.1648124999999998
mul,66,1,1,66,0.8591609
mul,320336,1,1,320336,6.602999999999999
mul,32,5,9204,1472640,26.850160800000005
mul,1755,1,1,1755,0.9544464000000001
mul,46462,1,1,46462,1.8075356999999996
mul,57688,1,1,57688,2.0121515999999997
mul,3,1,1,3,0.8602589
mul,1728324,1,1,1728324,31.3799913
mul,3,2,49,294,0.9195716
mul,173148,1,1,173148,4.0797051
mul,245855,6,1,1475130,35.5452767
mul,3,6,3,54,0.9815447
mul,3,2,2,12,0.8987320999999999
mul,265,1,1,265,0.8836964
mul,1160,1,1,1160,0.9517142999999999
mul,1,6,1,6,0.8699912
mul,16,12,1,192,0.9538751999999999
mul,381,1,1,381,0.8767592000000001
mul,1161,14,1,16254,1.3510266999999998
mul,3,9,20,540,1.0884462000000001
mul,12,5,9,540,1.0555714
mul,1403778,1,1,1403778,25.699848099999997
mul,44,18,1,792,0.9672767
mul,4,11,2,88,0.9784285
mul,689899,1,1,689899,13.146428600000002
mul,3,34,87,8874,1.2324281999999998
mul,3,9,1,27,0.8798571000000001
mul,4,3,5,60,0.9471254
mul,137,92258,1,12639346,166.1303215
mul,12767,1,1,12767,1.177982
mul,3,4,705,8460,1.2372410999999999
mul,1,3163,1,3163,1.2389642
mul,3,836180,1,2508540,85.46316069999999
mul,7,3595,6,150990,4.073589100000001
mul,676242,1,1,676242,12.924428400000002
mul,6,5,11,330,0.9864376
mul,25,8,74,14800,1.4003035000000001
mul,2023,1,1,2023,0.9622858999999998
mul,194,1,1,194,0.8602857
mul,418,11614,1,4854652,64.0495624
mul,2816786,1,1,2816786,36.5617232
mul,31,2,4,248,0.983
mul,64,6,1512,580608,11.328598099999999
mul,32,15,140,67200,3.0606786
mul,1,1145,1,1145,1.0562678
mul,54,5,6,1620,0.9954551
mul,62,167,1,10354,1.2094463
mul,3,2,5,30,0.9151695
mul,7,11,80052,6164004,89.9122945
mul,495787,1,1,495787,9.6885624
mul,31,1,1,31,0.8775624000000001
mul,4,14,1,56,0.870125
mul,3,5,28,420,0.9788482000000002
mul,3608,1,1,3608,1.000866
mul,77366,1,1,77366,2.3455803000000004
mul,8459,597,1,5050023,68.2637233
mul,307,3,1,921,0.9347054
mul,15,36,53,28620,2.2711428000000007
mul,24,34,95,77520,2.8038749000000003
mul,29,1,1,29,0.8592679000000001
mul,8,6,5,240,1.022991
mul,3531,1,1,3531,0.9917231999999998
mul,95,1,1,95,0.8614196
mul,1832,1,1,1832,0.9587413
mul,4,26,9,936,1.0286873
mul,44,4,3,528,0.9264375000000001
mul,3,3,18,162,0.9318751000000001
mul,9,3,103,2781,1.0477499
mul,2,2,3,12,0.8779822000000002
mul,10,30,6966,2089800,29.438857100000007
mul,8,4,28,896,1.017884
mul,224641,1,1,224641,4.956580300000001
mul,82,7,4,2296,1.024732
mul,28,15,1,420,0.9604374000000002
mul,3,25,4,300,0.9640086999999999
mul,4,4,5,80,1.0065448
mul,5161378,1,1,5161378,65.3418216
mul,3894980,1,1,3894980,49.6244106
mul,64479,1,1,64479,2.0432771
mul,1781,1,1,1781,0.9416695
mul,1891,2,1,3782,1.1057143
mul,3622,1,1,3622,0.9888480999999999
mul,14602122,1,1,14602122,180.2932946
mul,1091,14,36,549864,12.4045806
mul,13821904,1,1,13821904,170.36385720000004
mul,32589,1,1,32589,1.5021426999999998
mul,184,6,3,3312,1.1065801
mul,33,2,1,66,0.8605714000000001
