kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_2560x1536x3584,2560,1536,3584,42.30275,41.97,42.471172,0.147622734813368,10,988512
matmul_2560x1536x4096,2560,1536,4096,45.6747968,45.42625,45.951328,0.1955592047146382,10,1129728
matmul_2560x2048x1024,2560,2048,1024,20.1135,19.916406,20.283828,0.1199071129759291,10,376576
matmul_2560x2048x1536,2560,2048,1536,27.7961016,27.6625,27.99,0.1021216233139027,10,564864
matmul_2560x2048x2048,2560,2048,2048,34.2607734,33.692578,35.25875,0.5336803582753756,10,753152
matmul_2560x2048x2560,2560,2048,2560,43.234414,42.54125,43.868828,0.4649414146042735,10,941440
matmul_2560x2048x3072,2560,2048,3072,47.768664,47.58375,48.032656,0.1364188344213843,10,1129728
matmul_2560x2048x3584,2560,2048,3584,54.4694452,54.20125,54.94125,0.2284009621816656,10,1318016
matmul_2560x2048x4096,2560,2048,4096,59.2393906,58.831172,59.541094,0.1958442975178658,10,1506304
matmul_2560x2560x1024,2560,2560,1024,24.1783594,23.951172,24.37875,0.1438428088158891,10,470720
matmul_2560x2560x1536,2560,2560,1536,33.2036562,32.767422,34.301406,0.5063474667068055,10,706080
matmul_2560x2560x2048,2560,2560,2048,43.5924218,43.28,44.08,0.2282746324047221,10,941440
matmul_2560x2560x2560,2560,2560,2560,47.8358124,47.631328,47.998828,0.1359033960030274,10,1176800
matmul_2560x2560x3072,2560,2560,3072,58.510882800000005,58.237344,58.943672,0.2252526061197368,10,1412160
matmul_2560x2560x3584,2560,2560,3584,66.9831484,66.498906,67.2825,0.2655795863922277,10,1647520
matmul_2560x2560x4096,2560,2560,4096,73.46734359999999,72.918906,73.928828,0.2848388621282011,10,1882880
matmul_2560x3072x1024,2560,3072,1024,27.7360782,27.556406,28.019922,0.151268254187204,10,552640
matmul_2560x3072x1536,2560,3072,1536,35.0126796,34.825156,35.120078,0.0958434945513894,10,828960
matmul_2560x3072x2048,2560,3072,2048,46.4449844,46.28875,46.548672,0.0897540403983134,10,1105280
matmul_2560x3072x2560,2560,3072,2560,56.898953,56.695078,57.148906,0.1449079097457704,10,1381600
matmul_2560x3072x3072,2560,3072,3072,68.6868358,68.492578,69.082734,0.1834615092285029,10,1657920
matmul_2560x3072x3584,2560,3072,3584,82.0083124,81.551328,82.35125,0.2910594564258882,10,1934240
matmul_2560x3072x4096,2560,3072,4096,90.21375,90.0425,90.477422,0.1443290066079743,10,2210560
matmul_2560x3584x1024,2560,3584,1024,31.7412266,31.555156,32.033906,0.1678516640504022,10,634560
matmul_2560x3584x1536,2560,3584,1536,40.3843906,40.166328,40.631328,0.1481334682179113,10,951840
matmul_2560x3584x2048,2560,3584,2048,53.8136172,53.478672,54.56875,0.3215034350481079,10,1269120
matmul_2560x3584x2560,2560,3584,2560,67.7658124,67.512578,67.963906,0.162299878564476,10,1586400
matmul_2560x3584x3072,2560,3584,3072,80.8438202,80.350156,81.160078,0.2647033187928606,10,1903680
matmul_2560x3584x3584,2560,3584,3584,92.1507734,91.89875,92.342656,0.1348282118715826,10,2220960
matmul_2560x3584x4096,2560,3584,4096,104.2714062,103.713906,104.863672,0.3276837870555492,10,2538240
matmul_2560x4096x1024,2560,4096,1024,34.8414922,34.651328,35.088828,0.1250185238806189,10,716480
matmul_2560x4096x1536,2560,4096,1536,45.5859296,45.190078,45.897578,0.2056781790485109,10,1074720
matmul_2560x4096x2048,2560,4096,2048,59.5957656,59.410078,59.832656,0.1584363437705447,10,1432960
matmul_2560x4096x2560,2560,4096,2560,72.5944922,72.3875,72.835078,0.1289229918653401,10,1791200
matmul_2560x4096x3072,2560,4096,3072,100.4532968,100.25625,100.70125,0.1381062552970632,10,2149440
matmul_2560x4096x3584,2560,4096,3584,105.030414,104.758984,105.552422,0.2559214798852715,10,2507680
matmul_2560x4096x4096,2560,4096,4096,118.4667578,118.16375,118.727734,0.160361903895047,10,2865920
matmul_3072x1024x1024,3072,1024,1024,13.001961,12.7875,13.175,0.1262674472247964,10,221056
matmul_3072x1024x1536,3072,1024,1536,17.195007800000003,16.9825,17.36625,0.1306095571709818,10,331584
matmul_3072x1024x2048,3072,1024,2048,21.9668048,21.775,22.111328,0.0973987366251626,10,442112
matmul_3072x1024x2560,3072,1024,2560,24.99625,24.908672,25.10125,0.0686115955020239,10,552640
matmul_3072x1024x3072,3072,1024,3072,29.8781172,29.708672,30.022578,0.098138220495154,10,663168
matmul_3072x1024x3584,3072,1024,3584,32.8053984,32.6075,33.083672,0.1316146862348997,10,773696
matmul_3072x1024x4096,3072,1024,4096,38.7728046,38.498906,39.002656,0.151330198187937,10,884224
matmul_3072x1536x1024,3072,1536,1024,18.0072344,17.7875,18.16,0.1256731751517044,10,331584
matmul_3072x1536x1536,3072,1536,1536,24.5826798,24.262422,24.80875,0.1602555026434697,10,497376
matmul_3072x1536x2048,3072,1536,2048,31.39225,31.21375,31.511328,0.1179947719369136,10,663168
matmul_3072x1536x2560,3072,1536,2560,35.0577578,34.826172,35.212578,0.1289042462517552,10,828960
matmul_3072x1536x3072,3072,1536,3072,42.8650624,42.35625,43.133828,0.2570622929430827,10,994752
matmul_3072x1536x3584,3072,1536,3584,47.236914,47.0075,47.456328,0.1329645629381503,10,1160544
matmul_3072x1536x4096,3072,1536,4096,55.6297968,55.340078,55.831328,0.1704801871634618,10,1326336
matmul_3072x2048x1024,3072,2048,1024,22.7666798,22.476094,22.954844,0.1510563315277523,10,442112
matmul_3072x2048x1536,3072,2048,1536,31.8261172,31.594922,32.018984,0.1211706197143339,10,663168
matmul_3072x2048x2048,3072,2048,2048,39.5815156,39.217422,39.823906,0.1907661030751765,10,884224
matmul_3072x2048x2560,3072,2048,2560,45.2145234,44.856328,45.466406,0.16746618650953,10,1105280
matmul_3072x2048x3072,3072,2048,3072,54.92475,54.683828,55.27125,0.2095350821435135,10,1326336
matmul_3072x2048x3584,3072,2048,3584,61.6989218,61.553672,61.91375,0.114282791641126,10,1547392
matmul_3072x2048x4096,3072,2048,4096,72.377078,72.212578,72.615156,0.1357061991313093,10,1768448
matmul_3072x2560x1024,3072,2560,1024,27.716414,27.535,27.851328,0.108839349228321,10,552640
matmul_3072x2560x1536,3072,2560,1536,36.8693438,36.721328,37.026172,0.1108556082977611,10,828960
matmul_3072x2560x2048,3072,2560,2048,50.6140078,50.37625,50.976328,0.1700670468503532,10,1105280
matmul_3072x2560x2560,3072,2560,2560,55.025836,54.80125,55.473906,0.2021409862227625,10,1381600
matmul_3072x2560x3072,3072,2560,3072,67.3188906,67.027578,67.59875,0.2146974979558178,10,1657920
matmul_3072x2560x3584,3072,2560,3584,76.4022578,76.194922,76.754844,0.1701284723664237,10,1934240
matmul_3072x2560x4096,3072,2560,4096,89.060414,88.807578,89.357422,0.2013386450182296,10,2210560
matmul_3072x3072x1024,3072,3072,1024,33.2415782,32.2625,34.14125,0.5893813111145156,10,663168
matmul_3072x3072x1536,3072,3072,1536,45.6205312,44.903828,46.309922,0.4282636669168499,10,994752
matmul_3072x3072x2048,3072,3072,2048,58.1885,57.347422,58.99,0.5977095459316155,10,1326336
matmul_3072x3072x2560,3072,3072,2560,65.2623906,65.020156,65.538672,0.1472172161793591,10,1657920
matmul_3072x3072x3072,3072,3072,3072,80.4020312,79.726328,81.586406,0.5083623783625223,10,1989504
matmul_3072x3072x3584,3072,3072,3584,90.5935156,89.9875,90.862578,0.2571271117211198,10,2321088
matmul_3072x3072x4096,3072,3072,4096,105.5733984,105.026328,105.945078,0.3092507394875531,10,2652672
matmul_3072x3584x1024,3072,3584,1024,33.3126562,33.126484,33.468672,0.1068534396199881,10,761472
matmul_3072x3584x1536,3072,3584,1536,48.3103906,48.011328,48.573672,0.1847878718724679,10,1142208
matmul_3072x3584x2048,3072,3584,2048,63.7580938,63.548672,63.95125,0.1732658193372886,10,1522944
matmul_3072x3584x2560,3072,3584,2560,79.418453,78.976484,79.82,0.2853277507105742,10,1903680
