kernel_name        ,total_cycles ,main_avg  ,main_min ,main_max   ,main_stddev ,fusion_avg ,fusion_min ,fusion_max ,fusion_stddev ,copy-start_avg ,copy-start_min ,copy-start_max ,copy-start_stddev ,copy-done_avg ,copy-done_min ,copy-done_max ,copy-done_stddev
matmul_128x112x96  ,       493.0 , 1.447567 ,1.404286 ,  1.797143 ,   0.098938 ,  1.335839 ,  1.295625 ,  1.55991  ,     0.058889 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075848 ,     0.054375 ,     0.465714 ,        0.089443
matmul_128x112x112 ,       493.0 , 1.491009 ,1.442947 ,  1.848482 ,   0.096306 ,  1.378705 ,  1.335804 ,  1.504196 ,     0.051365 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.076161 ,     0.054375 ,     0.474375 ,        0.091359
matmul_128x112x128 ,       493.0 , 1.385835 ,1.322946 ,  2.001518 ,   0.152003 ,  1.233522 ,  1.182857 ,  1.422857 ,     0.061145 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.089232 ,     0.054375 ,     0.74     ,        0.149298
matmul_128x128x32  ,       509.0 , 1.4025   ,1.350089 ,  1.721428 ,   0.09653  ,  1.291094 ,  1.235803 ,  1.457143 ,     0.064354 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074786 ,     0.054375 ,     0.448571 ,        0.085754
matmul_128x128x48  ,       509.0 , 1.402138 ,1.367054 ,  1.767143 ,   0.087066 ,  1.2905   ,  1.271428 ,  1.354286 ,     0.024284 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075429 ,     0.054375 ,     0.45991  ,        0.088208
matmul_128x128x64  ,       509.0 , 1.436295 ,1.368571 ,  1.804375 ,   0.116834 ,  1.324928 ,  1.277143 ,  1.545625 ,     0.080593 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075152 ,     0.054375 ,     0.454286 ,        0.086982
matmul_128x128x80  ,       509.0 , 1.464299 ,1.405714 ,  1.794375 ,   0.104575 ,  1.3525   ,  1.295715 ,  1.561428 ,     0.073251 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075772 ,     0.054375 ,     0.462857 ,        0.088805
matmul_128x128x96  ,       509.0 , 1.49542  ,1.435714 ,  1.834286 ,   0.105068 ,  1.383424 ,  1.328661 ,  1.577143 ,     0.071707 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075929 ,     0.054375 ,     0.468571 ,        0.09008
matmul_128x128x112 ,       509.0 , 1.506156 ,1.465625 ,  1.885714 ,   0.096576 ,  1.392638 ,  1.351429 ,  1.551429 ,     0.042888 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.077357 ,     0.054375 ,     0.497232 ,        0.096328
matmul_128x128x128 ,       509.0 , 1.570428 ,1.512946 ,  1.892857 ,   0.100907 ,  1.429205 ,  1.331428 ,  1.598571 ,     0.071823 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.07592  ,     0.054375 ,     0.468571 ,        0.090082
