Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(2048, 2176), (2176, 2944)]",904672,matmul_linear_145,258.2825717,350164.4386903477
matmul,linear,"[(2176, 2176), (2176, 2944)]",961214,matmul_linear_146,267.5225715,359202.01874573407
matmul,linear,"[(2304, 2176), (2176, 2944)]",1017756,matmul_linear_147,291.1418392,349473.9405908101
matmul,linear,"[(2432, 2176), (2176, 2944)]",1074298,matmul_linear_148,346.49869650000005,309943.87919825834
matmul,linear,"[(2560, 2176), (2176, 2944)]",1130840,matmul_linear_149,352.9788661,320270.45517609816
matmul,linear,"[(2688, 2176), (2176, 2944)]",1187382,matmul_linear_150,362.48733030000005,327465.1038664729
matmul,linear,"[(2816, 2176), (2176, 2944)]",1243924,matmul_linear_151,369.945009,336145.6499582077
matmul,linear,"[(2944, 2176), (2176, 2944)]",1300466,matmul_linear_152,375.00228589999995,346688.8194011673
matmul,linear,"[(3072, 2176), (2176, 2944)]",1350514,matmul_linear_153,386.2610267,349537.65605296567
matmul,linear,"[(2048, 2176), (2176, 3072)]",939488,matmul_linear_154,259.995982,361247.1226643802
matmul,linear,"[(2176, 2176), (2176, 3072)]",998206,matmul_linear_155,269.8074644,369869.749435887
matmul,linear,"[(2304, 2176), (2176, 3072)]",1056924,matmul_linear_156,291.0571427,363032.81653060083
matmul,linear,"[(2432, 2176), (2176, 3072)]",1115642,matmul_linear_157,346.06499990000003,322279.32189686305
matmul,linear,"[(2560, 2176), (2176, 3072)]",1174360,matmul_linear_158,353.18370519999996,332406.8463549264
matmul,linear,"[(2688, 2176), (2176, 3072)]",1233078,matmul_linear_159,362.01199110000005,340517.998937881
matmul,linear,"[(2816, 2176), (2176, 3072)]",1291796,matmul_linear_160,370.05752679999995,348979.7798846447
matmul,linear,"[(2944, 2176), (2176, 3072)]",1350514,matmul_linear_161,378.456143,356748.2174168329
matmul,linear,"[(3072, 2176), (2176, 3072)]",1409232,matmul_linear_162,386.47454459999994,364537.72832918435
matmul,linear,"[(2048, 2304), (2304, 2048)]",699840,matmul_linear_163,156.4406872,447251.6529017138
matmul,linear,"[(2176, 2304), (2304, 2048)]",736704,matmul_linear_164,164.3761427,448081.8273011464
matmul,linear,"[(2304, 2304), (2304, 2048)]",773568,matmul_linear_165,171.90073209999997,449908.5546756087
matmul,linear,"[(2432, 2304), (2304, 2048)]",810432,matmul_linear_166,179.4501337,451519.61336560425
matmul,linear,"[(2560, 2304), (2304, 2048)]",847296,matmul_linear_167,187.04841969999998,452882.1750747462
matmul,linear,"[(2688, 2304), (2304, 2048)]",884160,matmul_linear_168,194.54714279999996,454370.8224828271
matmul,linear,"[(2816, 2304), (2304, 2048)]",921024,matmul_linear_169,202.0052412,455840.645167775
matmul,linear,"[(2944, 2304), (2304, 2048)]",957888,matmul_linear_170,209.54787489999998,457021.3143808408
matmul,linear,"[(3072, 2304), (2304, 2048)]",994752,matmul_linear_171,217.0023036,458306.19361978053
matmul,linear,"[(2048, 2304), (2304, 2176)]",736704,matmul_linear_172,183.180714,402073.3423312238
matmul,linear,"[(2176, 2304), (2304, 2176)]",782748,matmul_linear_173,186.2684284,420125.8035479296
matmul,linear,"[(2304, 2304), (2304, 2176)]",821916,matmul_linear_174,209.7391518,391775.3332156843
matmul,linear,"[(2432, 2304), (2304, 2176)]",861084,matmul_linear_175,224.223009,383930.16882179125
