Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(1536, 1152), (1152, 1664)]",220968,matmul_linear_131,69.5981517,317391.18992767733
matmul,linear,"[(1664, 1152), (1152, 1664)]",239382,matmul_linear_132,127.9784463,186948.68430646046
matmul,linear,"[(1792, 1152), (1152, 1664)]",254358,matmul_linear_133,68.258286,372540.47327528853
matmul,linear,"[(1920, 1152), (1152, 1664)]",269334,matmul_linear_134,71.5228481,376470.5745154743
matmul,linear,"[(2048, 1152), (1152, 1664)]",284310,matmul_linear_135,80.5547052,352840.27741038764
matmul,linear,"[(1024, 1152), (1152, 1792)]",156528,matmul_linear_136,53.9104465,290248.1795499505
matmul,linear,"[(1152, 1152), (1152, 1792)]",176094,matmul_linear_137,56.85599989999999,309619.2913847603
matmul,linear,"[(1280, 1152), (1152, 1792)]",195660,matmul_linear_138,59.7285714,327481.91835808754
matmul,linear,"[(1408, 1152), (1152, 1792)]",215226,matmul_linear_139,62.6891248,343222.7065884958
matmul,linear,"[(1536, 1152), (1152, 1792)]",234792,matmul_linear_140,66.04575000000001,355399.02908211347
matmul,linear,"[(1664, 1152), (1152, 1792)]",254358,matmul_linear_141,69.01426760000001,368458.5732420349
matmul,linear,"[(1792, 1152), (1152, 1792)]",273924,matmul_linear_142,68.9280003,397305.98712828173
matmul,linear,"[(1920, 1152), (1152, 1792)]",290052,matmul_linear_143,72.1718392,401790.82502971607
matmul,linear,"[(2048, 1152), (1152, 1792)]",306180,matmul_linear_144,81.14927700000001,377204.6554684646
matmul,linear,"[(1024, 1152), (1152, 1920)]",165744,matmul_linear_145,47.4994287,348838.93365921685
matmul,linear,"[(1152, 1152), (1152, 1920)]",186462,matmul_linear_146,65.02813409999999,286640.5048302009
matmul,linear,"[(1280, 1152), (1152, 1920)]",207180,matmul_linear_147,68.4853124,302417.4197789014
matmul,linear,"[(1408, 1152), (1152, 1920)]",227898,matmul_linear_148,72.16640179999999,315695.1544149178
matmul,linear,"[(1536, 1152), (1152, 1920)]",248616,matmul_linear_149,75.8418571,327708.42862562236
matmul,linear,"[(1664, 1152), (1152, 1920)]",269334,matmul_linear_150,79.6752945,337939.54122817825
matmul,linear,"[(1792, 1152), (1152, 1920)]",290052,matmul_linear_151,83.2511607,348305.95321573695
matmul,linear,"[(1920, 1152), (1152, 1920)]",310770,matmul_linear_152,110.19597330000002,281915.74948111095
matmul,linear,"[(2048, 1152), (1152, 1920)]",328050,matmul_linear_153,116.3290088,281901.8870477989
matmul,linear,"[(1024, 1152), (1152, 2048)]",174960,matmul_linear_154,60.4050356,289544.72624199564
