kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev
matmul_3072x2048x3072,3072,2048,3072,278.1199999,277.935625,278.278482,0.13553368371691746
matmul_3072x2048x3584,3072,2048,3584,318.0045804,317.84,318.294286,0.1774456973512963
matmul_3072x2048x4096,3072,2048,4096,386.4514194,386.285625,386.665625,0.13927556070626806
matmul_3072x2560x1024,3072,2560,1024,134.3454462,134.164286,134.538571,0.12189030681887175
matmul_3072x2560x1536,3072,2560,1536,266.1915892,266.041518,266.355625,0.12844611726045418
matmul_3072x2560x2048,3072,2560,2048,249.1894374,248.921428,249.377143,0.16676984683902557
matmul_3072x2560x2560,3072,2560,2560,284.650259,284.405714,284.917143,0.17334939717230338
matmul_3072x2560x3072,3072,2560,3072,352.89915179999997,352.687143,353.02,0.11370514069957963
matmul_3072x2560x3584,3072,2560,3584,402.1332679,401.939911,402.329911,0.14999180915151372
matmul_3072x2560x4096,3072,2560,4096,456.5632411,456.371429,456.701339,0.1224452277328414
matmul_3072x3072x1024,3072,3072,1024,171.4964018,171.317232,171.654286,0.13356826008017306
matmul_3072x3072x1536,3072,3072,1536,265.4755981,265.280089,265.591429,0.09879639225583436
matmul_3072x3072x2048,3072,3072,2048,312.4267233,312.234286,312.581428,0.1350766242874737
matmul_3072x3072x2560,3072,3072,2560,355.1174196,354.895625,355.385714,0.18755411937487865
matmul_3072x3072x3072,3072,3072,3072,414.3724197,414.232768,414.620089,0.13248280245966773
matmul_3072x3072x3584,3072,3072,3584,474.1402858,473.942768,474.562946,0.21470464797319008
matmul_3072x3072x4096,3072,3072,4096,493.34998229999997,493.144286,493.528572,0.13541373110668872
matmul_3072x3584x1024,3072,3584,1024,189.26786620000001,189.025625,189.344286,0.09534521266872864
matmul_3072x3584x1536,3072,3584,1536,288.8374107,288.765714,288.95,0.05300957027650506
matmul_3072x3584x2048,3072,3584,2048,343.4661249,343.151428,343.682768,0.14690931379705313
matmul_3072x3584x2560,3072,3584,2560,466.6742947,466.522858,466.895804,0.13711895450305303
matmul_3072x3584x3072,3072,3584,3072,487.1758662,487.078571,487.315625,0.07626441222891454
matmul_3072x3584x3584,3072,3584,3584,564.376134,564.211428,564.498661,0.10239858647677287
matmul_3072x3584x4096,3072,3584,4096,630.8568752,630.645715,631.101429,0.1272900380066628
matmul_3072x4096x1024,3072,4096,1024,233.5315536,233.424375,233.872768,0.14149483871404026
matmul_3072x4096x1536,3072,4096,1536,334.9673213,334.808571,335.124286,0.09605568635496466
matmul_3072x4096x2048,3072,4096,2048,487.1051607,486.974286,487.251429,0.10151946803013437
matmul_3072x4096x2560,3072,4096,2560,514.8332677,514.527143,515.014285,0.17512604457110503
matmul_3072x4096x3072,3072,4096,3072,543.7942678000001,543.434286,544.017143,0.16968693107720106
matmul_3072x4096x3584,3072,4096,3584,621.0054733,620.935804,621.101429,0.05530005065509138
matmul_3072x4096x4096,3072,4096,4096,791.9644553,791.768482,792.182857,0.12380053196356156
